ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COK,Cook Islands,0.037,0.037,0.037,0.04,0.04,0.04,0.048,0.048,0.048,0.048,0.048,0.033,0.022,0.029,0.048,0.055,0.048,0.048,0.048,0.044,0.051,0.059,0.062,0.062,0.066,0.062,0.062,0.07,0.073,0.077
CRI,Costa Rica,2.912,3.287,3.741,3.891,5.2,4.802,4.687,4.917,5.235,5.439,5.394,5.666,6.245,6.583,6.842,6.723,7.006,7.961,7.991,7.749,7.494,7.309,7.259,7.633,7.749,7.407,7.924,8.235,8.249,8.508
CIV,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,23.329,17.182,16.506,16.96,16.214,16.926,17.515,18.576,19.279,20.115,19.694,20.807,21.913,23.268,22.917,23.33,23.529,24.844,23.629,21.838,21.051,20.682,19.115,18.455,17.705,17.841,18.105,18.738,17.719,17.882
CUB,Cuba,32.736,28.899,21.02,19.787,21.287,25.586,26.872,24.509,24.357,25.183,25.944,25.332,25.966,25.355,24.866,25.848,26.327,25.762,27.747,28.016,33.915,29.169,29.522,27.748,27.426,29.053,28.0,25.131,26.084,25.988
CYP,Cyprus,4.657,5.147,5.523,5.767,6.011,5.882,6.233,6.321,6.615,6.882,7.146,7.021,7.211,7.606,7.841,8.031,8.223,8.539,8.707,8.454,8.089,7.759,7.235,6.554,6.935,6.96,7.368,7.516,7.333,7.316
CZE,Czechia,164.204,148.894,144.619,138.637,132.376,131.608,134.963,130.733,125.318,116.623,127.066,126.958,123.896,127.383,128.114,125.672,126.449,128.264,122.941,115.194,117.501,115.06,110.955,106.427,104.05,104.815,106.629,105.642,104.411,101.01
COD,Democratic Republic of Congo,4.25,3.133,2.809,2.662,1.699,2.104,2.312,1.875,1.655,1.319,0.893,0.769,0.85,1.037,1.15,1.445,1.553,1.696,1.811,1.695,1.963,2.439,2.356,3.538,4.631,2.792,1.996,2.205,2.231,2.283
DNK,Denmark,53.553,64.169,58.361,60.608,64.67,61.582,74.83,65.43,61.199,58.619,54.277,55.865,55.527,60.614,55.066,51.495,59.417,54.643,51.223,48.821,49.152,44.197,39.824,41.73,37.527,35.181,36.989,34.722,34.651,32.075
DJI,Djibouti,0.322,0.337,0.337,0.337,0.33,0.33,0.333,0.348,0.341,0.341,0.366,0.366,0.399,0.421,0.407,0.414,0.41,0.462,0.498,0.458,0.517,0.473,0.48,0.556,0.373,0.446,0.398,0.38,0.39,0.399
DMA,Dominica,0.059,0.059,0.059,0.062,0.066,0.081,0.073,0.081,0.077,0.081,0.103,0.11,0.103,0.117,0.143,0.143,0.143,0.183,0.165,0.161,0.172,0.154,0.165,0.169,0.176,0.176,0.18,0.161,0.166,0.162
DOM,Dominican Republic,9.152,9.953,10.822,11.667,12.377,15.771,17.198,17.905,18.249,18.384,19.594,19.594,21.462,21.623,17.843,17.904,19.087,19.95,20.269,19.814,20.574,21.319,21.494,21.05,21.646,23.488,24.629,24.255,25.305,27.379
ECU,Ecuador,16.458,16.158,21.96,24.087,13.539,22.698,24.025,18.205,22.315,21.365,20.563,22.939,24.753,26.748,28.786,29.97,28.895,33.685,29.573,32.503,34.825,37.398,37.153,39.362,43.208,40.64,39.505,39.238,41.818,40.54
EGY,Egypt,75.219,77.295,79.939,92.278,84.556,94.888,93.568,107.512,121.465,124.497,140.348,124.293,125.781,146.462,149.144,165.042,176.02,185.905,195.285,202.71,198.808,211.037,210.355,206.868,221.942,219.304,233.516,250.24,251.461,246.643
SLV,El Salvador,2.474,3.153,3.317,3.975,4.514,4.998,4.415,5.417,5.732,5.587,5.672,5.858,6.074,6.434,6.254,6.298,6.717,6.846,6.405,6.313,6.317,6.5,6.469,6.094,6.147,6.715,6.638,6.016,6.018,6.207
GNQ,Equatorial Guinea,0.062,0.066,0.066,0.07,0.077,0.084,0.128,0.304,0.224,0.37,0.465,4.54,6.181,6.661,7.519,7.515,6.962,5.628,7.017,6.753,6.866,8.882,7.537,7.72,7.306,6.434,6.207,5.98,5.906,5.634
ERI,Eritrea,,,,,0.707,0.79,0.861,0.768,0.586,0.615,0.604,0.626,0.6,0.71,0.765,0.765,0.545,0.559,0.405,0.497,0.497,0.56,0.618,0.638,0.672,0.652,0.66,0.689,0.709,0.727
